id,name,street_number,street_address,city,state,country,postal_code,latitude,longitude,phone,geo,phone_alt,hours,alt_id,null,rating,keywords,google_maps_location,website,unknown
1,Anchor Brewing Company,1705,Mariposa Street,San Francisco,California,United States,94107,,-122.400925,(415) 863-8350,c1c4eb58d9464534bb426042172104c8745ccac9,+1 415-863-8350,"Monday: 9:00 am â€“ 4:00 pm, Tuesday: 9:00 am â€“ 4:00 pm, Wednesday: 9:00 am â€“ 4:00 pm, Thursday: 9:00 am â€“ 4:00 pm, Friday: 9:00 am â€“ 4:00 pm, Saturday: 11:00 am â€“ 4:00 pm, Sunday: 11:00 am â€“ 4:00 pm",ChIJS5fZqsx_j4ARsnlQbCfuapc,,4.4,"food, point_of_interest, establishment",https://plus.google.com/107511581624960952348/about?hl=en-US,http://www.anchorbrewing.com/,1
2,Babe's Bar-B-Que & Brewhouse,71800,California 111,Rancho Mirage,California,United States,92270,33.740742,-116.411209,(760) 346-8738,fb0566056c7e712f68fa79160fad00be3962a2b5,+1 760-346-8738,"Monday: 11:30 am â€“ 11:00 pm, Tuesday: 11:30 am â€“ 11:00 pm, Wednesday: 11:30 am â€“ 11:00 pm, Thursday: 11:30 am â€“ 11:00 pm, Friday: 11:30 am â€“ 11:00 pm, Saturday: 11:30 am â€“ 11:00 pm, Sunday: 11:30 am â€“ 11:00 pm",ChIJgxtI__L92oARgq6qahvD1TM,,3.8,"bar, restaurant, food, point_of_interest, establishment",https://plus.google.com/102014704707979639584/about?hl=en-US,http://babesbbque.com/,1
3,Speakeasy Ales & Lagers,1195,Evans Avenue,San Francisco,California,United States,94124,37.738125,-122.380714,(415) 642-3371,50b81490bde5a0ace6b58dcfabb855f8f582bce2,+1 415-642-3371,"Monday: Closed, Tuesday: 1:00 â€“ 10:00 pm, Wednesday: 1:00 â€“ 10:00 pm, Thursday: 1:00 â€“ 10:00 pm, Friday: 1:00 â€“ 10:00 pm, Saturday: 1:00 â€“ 10:00 pm, Sunday: 1:00 â€“ 10:00 pm",ChIJhSMeGA1_j4ARAWPyYgL1YZc,,4.4,"liquor_store, food, store, point_of_interest, establishment",https://plus.google.com/117261285482393401938/about?hl=en-US,http://www.goodbeer.com/,1
4,Butte Creek Brewing Co,1601,Airport Road,Ukiah,California,United States,95482,39.123417,-123.197578,(707) 463-2627,446a8d433990827cb2340f993643d5857a35b2e4,+1 707-463-2627,,ChIJTWPnx0VkgYARxaJiJQ_7RSA,,,"food, point_of_interest, establishment",https://plus.google.com/111440835808500115061/about?hl=en-US,http://www.buttecreek.com/,1
5,Anderson Valley Brewing Co.,17700,California 253,Boonville,California,United States,95415,39.001099,-123.356033,(707) 895-2337,a0faea23140c41c55aa466000f08f200a54c869d,+1 707-895-2337,"Monday: 11:00 am â€“ 6:00 pm, Tuesday: 11:00 am â€“ 6:00 pm, Wednesday: 11:00 am â€“ 6:00 pm, Thursday: 11:00 am â€“ 6:00 pm, Friday: 11:00 am â€“ 6:00 pm, Saturday: 11:00 am â€“ 6:00 pm, Sunday: 11:00 am â€“ 6:00 pm",ChIJ59RC6xhqgYAR7QG7UevIZt4,,4.7,"food, store, point_of_interest, establishment",https://plus.google.com/111130732858556170161/about?hl=en-US,http://www.avbc.com/,1
6,Hoppy Brewing Company,6300,Folsom Boulevard,Sacramento,California,United States,95819,38.55492,-121.429695,(916) 451-4677,8b2fee0c790e2a5b94594f41d2e70415130381ae,+1 916-451-4677,"Monday: 11:00 am â€“ 12:00 am, Tuesday: 11:00 am â€“ 12:00 am, Wednesday: 11:00 am â€“ 12:00 am, Thursday: 11:00 am â€“ 1:00 am, Friday: 11:00 am â€“ 1:00 am, Saturday: 10:00 am â€“ 1:00 am, Sunday: 10:00 am â€“ 12:00 am",ChIJz2KpmZHamoARVG1afsoqzTo,,3.7,"bar, restaurant, food, point_of_interest, establishment",https://plus.google.com/102693535460896706989/about?hl=en-US,http://www.hoppy.com/,1
7,Mendocino Brewing Co Inc,1601,Airport Road,Ukiah,California,United States,95482,39.123184,-123.197319,(707) 463-2627,97fc78558830678d8680fb05e84a523f1b6a96c4,+1 707-463-2627,"Monday: 8:00 am â€“ 5:00 pm, Tuesday: 8:00 am â€“ 5:00 pm, Wednesday: 8:00 am â€“ 5:00 pm, Thursday: 8:00 am â€“ 5:00 pm, Friday: 8:00 am â€“ 5:00 pm, Saturday: Closed, Sunday: Closed",ChIJTWPnx0VkgYARgoRcyuNmJk8,,,"food, point_of_interest, establishment",https://plus.google.com/110626012979818491931/about?hl=en-US,http://www.mendobrew.com/,1
8,Mendocino Brewing Ale House,1252,Airport Park Boulevard,Ukiah,California,United States,95482,39.128883,-123.199524,(707) 467-2337,7a1930485434304e7874cb5b54b041bafa19ebaa,+1 707-467-2337,"Monday: 1:00 â€“ 7:00 pm, Tuesday: 1:00 â€“ 7:00 pm, Wednesday: 1:00 â€“ 7:00 pm, Thursday: 1:00 â€“ 7:00 pm, Friday: 12:00 â€“ 8:00 pm, Saturday: 12:00 â€“ 8:00 pm, Sunday: 12:00 â€“ 6:00 pm",ChIJl9dUDkdkgYARkobojrZyPSs,,4.2,"bar, point_of_interest, establishment",https://plus.google.com/101458924754446250091/about?hl=en-US,http://www.mendobrew.com/,1
9,Sierra Nevada Big Room,1075,East 20th Street,Chico,California,United States,95928,39.724194,-121.815353,(530) 893-3520,112fd1578bf2c963880ccbf6ae5eaef97342c28c,+1 530-893-3520,,ChIJh_tJgysmg4ARo50O04NpLjM,,,"food, point_of_interest, establishment",https://plus.google.com/108013525441221523110/about?hl=en-US,http://www.sierranevada.com/brewery/california/big-room,1
10,Sierra Nevada Brewing Co.,1075,East 20th Street,Chico,California,United States,95928,39.723358,-121.815941,(530) 893-3520,0efd547167ceb284b2d10d54b366696e706c5c87,+1 530-893-3520,,ChIJh_tJgysmg4ARc_aM-076-8U,,4.6,"food, store, point_of_interest, establishment",https://plus.google.com/100558971022003517295/about?hl=en-US,http://www.sierranevada.com,1
